2023-04-17 12:45:21,843 INFO    MainThread:5934 [wandb_setup.py:_flush():76] Configure stats pid to 5934
2023-04-17 12:45:21,844 INFO    MainThread:5934 [wandb_setup.py:_flush():76] Loading settings from /opt/ml/.config/wandb/settings
2023-04-17 12:45:21,844 INFO    MainThread:5934 [wandb_setup.py:_flush():76] Loading settings from /opt/ml/level1_imageclassification-cv-17/wandb/settings
2023-04-17 12:45:21,844 INFO    MainThread:5934 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-17 12:45:21,844 INFO    MainThread:5934 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-17 12:45:21,844 INFO    MainThread:5934 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program': 'train.py'}
2023-04-17 12:45:21,844 INFO    MainThread:5934 [wandb_init.py:_log_setup():507] Logging user logs to /opt/ml/level1_imageclassification-cv-17/wandb/run-20230417_124521-a9ub7nmk/logs/debug.log
2023-04-17 12:45:21,844 INFO    MainThread:5934 [wandb_init.py:_log_setup():508] Logging internal logs to /opt/ml/level1_imageclassification-cv-17/wandb/run-20230417_124521-a9ub7nmk/logs/debug-internal.log
2023-04-17 12:45:21,844 INFO    MainThread:5934 [wandb_init.py:init():547] calling init triggers
2023-04-17 12:45:21,844 INFO    MainThread:5934 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'seed': 42, 'epochs': 20, 'dataset': 'MaskBaseDataset', 'augmentation': 'YoonpyoAugmentation', 'resize': (512, 384), 'batch_size': 34, 'valid_batch_size': 34, 'model': 'EfficientNetB3', 'optimizer': 'Adam', 'lr': 1e-05, 'val_ratio': 0.2, 'criterion': 'focal_ce', 'lr_decay_step': 20, 'log_interval': 20, 'name': 'label_smooth_age59', 'model_dir': './model', 'patience_limit': 3}
2023-04-17 12:45:21,844 INFO    MainThread:5934 [wandb_init.py:init():595] starting backend
2023-04-17 12:45:21,844 INFO    MainThread:5934 [wandb_init.py:init():599] setting up manager
2023-04-17 12:45:21,847 INFO    MainThread:5934 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-04-17 12:45:21,849 INFO    MainThread:5934 [wandb_init.py:init():605] backend started and connected
2023-04-17 12:45:21,852 INFO    MainThread:5934 [wandb_init.py:init():695] updated telemetry
2023-04-17 12:45:21,925 INFO    MainThread:5934 [wandb_init.py:init():732] communicating run to backend with 60.0 second timeout
2023-04-17 12:45:22,426 INFO    MainThread:5934 [wandb_run.py:_on_init():2176] communicating current version
2023-04-17 12:45:22,461 INFO    MainThread:5934 [wandb_run.py:_on_init():2185] got version response 
2023-04-17 12:45:22,461 INFO    MainThread:5934 [wandb_init.py:init():782] starting run threads in backend
2023-04-17 12:45:25,334 INFO    MainThread:5934 [wandb_run.py:_console_start():2157] atexit reg
2023-04-17 12:45:25,334 INFO    MainThread:5934 [wandb_run.py:_redirect():2012] redirect: SettingsConsole.WRAP_RAW
2023-04-17 12:45:25,335 INFO    MainThread:5934 [wandb_run.py:_redirect():2077] Wrapping output streams.
2023-04-17 12:45:25,335 INFO    MainThread:5934 [wandb_run.py:_redirect():2102] Redirects installed.
2023-04-17 12:45:25,336 INFO    MainThread:5934 [wandb_init.py:init():824] run started, returning control to user process
2023-04-17 12:45:31,973 WARNING MsgRouterThr:5934 [router.py:message_loop():77] message_loop has been closed
