2023-04-17 17:14:33,776 INFO    MainThread:6818 [wandb_setup.py:_flush():76] Configure stats pid to 6818
2023-04-17 17:14:33,777 INFO    MainThread:6818 [wandb_setup.py:_flush():76] Loading settings from /opt/ml/.config/wandb/settings
2023-04-17 17:14:33,777 INFO    MainThread:6818 [wandb_setup.py:_flush():76] Loading settings from /opt/ml/level1_imageclassification-cv-17/wandb/settings
2023-04-17 17:14:33,777 INFO    MainThread:6818 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-17 17:14:33,777 INFO    MainThread:6818 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-17 17:14:33,777 INFO    MainThread:6818 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program': 'train.py'}
2023-04-17 17:14:33,777 INFO    MainThread:6818 [wandb_init.py:_log_setup():507] Logging user logs to /opt/ml/level1_imageclassification-cv-17/wandb/run-20230417_171433-dp6mdy1e/logs/debug.log
2023-04-17 17:14:33,777 INFO    MainThread:6818 [wandb_init.py:_log_setup():508] Logging internal logs to /opt/ml/level1_imageclassification-cv-17/wandb/run-20230417_171433-dp6mdy1e/logs/debug-internal.log
2023-04-17 17:14:33,777 INFO    MainThread:6818 [wandb_init.py:init():547] calling init triggers
2023-04-17 17:14:33,777 INFO    MainThread:6818 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'seed': 42, 'epochs': 20, 'dataset': 'MaskBaseDataset', 'augmentation': 'YoonpyoAugmentation', 'resize': (512, 384), 'batch_size': 32, 'valid_batch_size': 34, 'model': 'EfficientNetB3', 'optimizer': 'Adam', 'lr': 1e-05, 'val_ratio': 0.25, 'criterion': 'focal_ce', 'lr_decay_step': 20, 'log_interval': 20, 'name': 'da_focal_age59', 'model_dir': './model', 'patience_limit': 3}
2023-04-17 17:14:33,777 INFO    MainThread:6818 [wandb_init.py:init():595] starting backend
2023-04-17 17:14:33,777 INFO    MainThread:6818 [wandb_init.py:init():599] setting up manager
2023-04-17 17:14:33,780 INFO    MainThread:6818 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-04-17 17:14:33,782 INFO    MainThread:6818 [wandb_init.py:init():605] backend started and connected
2023-04-17 17:14:33,786 INFO    MainThread:6818 [wandb_init.py:init():695] updated telemetry
2023-04-17 17:14:33,870 INFO    MainThread:6818 [wandb_init.py:init():732] communicating run to backend with 60.0 second timeout
2023-04-17 17:14:34,358 INFO    MainThread:6818 [wandb_run.py:_on_init():2176] communicating current version
2023-04-17 17:14:34,390 INFO    MainThread:6818 [wandb_run.py:_on_init():2185] got version response 
2023-04-17 17:14:34,390 INFO    MainThread:6818 [wandb_init.py:init():782] starting run threads in backend
2023-04-17 17:14:37,210 INFO    MainThread:6818 [wandb_run.py:_console_start():2157] atexit reg
2023-04-17 17:14:37,210 INFO    MainThread:6818 [wandb_run.py:_redirect():2012] redirect: SettingsConsole.WRAP_RAW
2023-04-17 17:14:37,211 INFO    MainThread:6818 [wandb_run.py:_redirect():2077] Wrapping output streams.
2023-04-17 17:14:37,211 INFO    MainThread:6818 [wandb_run.py:_redirect():2102] Redirects installed.
2023-04-17 17:14:37,212 INFO    MainThread:6818 [wandb_init.py:init():824] run started, returning control to user process
2023-04-17 17:14:43,758 WARNING MsgRouterThr:6818 [router.py:message_loop():77] message_loop has been closed
