
Epoch[1/18](20/450) || training loss 2.558 || training accuracy 7.34% || train_f1_score  0.2 || lr 1e-05
Epoch[1/18](40/450) || training loss 2.475 || training accuracy 12.97% || train_f1_score 0.11 || lr 1e-05
Epoch[1/18](60/450) || training loss 2.424 || training accuracy 19.22% || train_f1_score 0.17 || lr 1e-05
Epoch[1/18](80/450) || training loss 2.345 || training accuracy 30.47% || train_f1_score 0.26 || lr 1e-05
Epoch[1/18](100/450) || training loss 2.242 || training accuracy 41.56% || train_f1_score 0.29 || lr 1e-05
Epoch[1/18](120/450) || training loss 2.191 || training accuracy 41.41% || train_f1_score 0.31 || lr 1e-05
Epoch[1/18](140/450) || training loss 2.099 || training accuracy 48.91% || train_f1_score 0.34 || lr 1e-05
Epoch[1/18](160/450) || training loss 2.02 || training accuracy 53.75% || train_f1_score 0.38 || lr 1e-05
Epoch[1/18](180/450) || training loss 1.881 || training accuracy 56.88% || train_f1_score  0.4 || lr 1e-05
Epoch[1/18](200/450) || training loss 1.783 || training accuracy 58.28% || train_f1_score  0.4 || lr 1e-05
Epoch[1/18](220/450) || training loss 1.666 || training accuracy 60.78% || train_f1_score 0.42 || lr 1e-05
Epoch[1/18](240/450) || training loss 1.529 || training accuracy 63.12% || train_f1_score 0.44 || lr 1e-05
Epoch[1/18](260/450) || training loss 1.467 || training accuracy 61.72% || train_f1_score 0.45 || lr 1e-05
Epoch[1/18](280/450) || training loss 1.288 || training accuracy 66.25% || train_f1_score 0.45 || lr 1e-05
Epoch[1/18](300/450) || training loss 1.22 || training accuracy 67.34% || train_f1_score 0.47 || lr 1e-05
Epoch[1/18](320/450) || training loss 1.152 || training accuracy 64.22% || train_f1_score 0.47 || lr 1e-05
Epoch[1/18](340/450) || training loss 1.032 || training accuracy 66.25% || train_f1_score 0.48 || lr 1e-05
Epoch[1/18](360/450) || training loss 0.9993 || training accuracy 64.38% || train_f1_score 0.49 || lr 1e-05
Epoch[1/18](380/450) || training loss 0.8947 || training accuracy 68.59% || train_f1_score  0.5 || lr 1e-05
Epoch[1/18](400/450) || training loss 0.903 || training accuracy 65.00% || train_f1_score  0.5 || lr 1e-05
Epoch[1/18](420/450) || training loss 0.7744 || training accuracy 68.91% || train_f1_score 0.51 || lr 1e-05
Epoch[1/18](440/450) || training loss 0.7356 || training accuracy 70.31% || train_f1_score 0.51 || lr 1e-05
