
Epoch[1/20](20/945) || training loss 0.2406 || training accuracy 82.50% || train_f1_score 0.67 || lr 0.001
Epoch[1/20](40/945) || training loss 0.1731 || training accuracy 85.94% || train_f1_score 0.77 || lr 0.001
Epoch[1/20](60/945) || training loss 0.1519 || training accuracy 86.88% || train_f1_score 0.79 || lr 0.001
Epoch[1/20](80/945) || training loss 0.1202 || training accuracy 90.00% || train_f1_score 0.81 || lr 0.001
Epoch[1/20](100/945) || training loss 0.1917 || training accuracy 82.19% || train_f1_score 0.82 || lr 0.001
Epoch[1/20](120/945) || training loss 0.1114 || training accuracy 89.69% || train_f1_score 0.82 || lr 0.001
Epoch[1/20](140/945) || training loss 0.1717 || training accuracy 83.75% || train_f1_score 0.83 || lr 0.001
Epoch[1/20](160/945) || training loss 0.1868 || training accuracy 82.81% || train_f1_score 0.83 || lr 0.001
Epoch[1/20](180/945) || training loss 0.1133 || training accuracy 91.56% || train_f1_score 0.84 || lr 0.001
Epoch[1/20](200/945) || training loss 0.1533 || training accuracy 85.62% || train_f1_score 0.84 || lr 0.001
Epoch[1/20](220/945) || training loss 0.1186 || training accuracy 89.38% || train_f1_score 0.86 || lr 0.001
Epoch[1/20](240/945) || training loss 0.1418 || training accuracy 86.88% || train_f1_score 0.87 || lr 0.001
Epoch[1/20](260/945) || training loss 0.1648 || training accuracy 84.69% || train_f1_score 0.86 || lr 0.001
Epoch[1/20](280/945) || training loss 0.1656 || training accuracy 84.38% || train_f1_score 0.86 || lr 0.001
Epoch[1/20](300/945) || training loss 0.1415 || training accuracy 86.88% || train_f1_score 0.86 || lr 0.001
Epoch[1/20](320/945) || training loss 0.1278 || training accuracy 88.75% || train_f1_score 0.86 || lr 0.001
Epoch[1/20](340/945) || training loss 0.1644 || training accuracy 86.56% || train_f1_score 0.86 || lr 0.001
Epoch[1/20](360/945) || training loss 0.1586 || training accuracy 84.69% || train_f1_score 0.86 || lr 0.001
Epoch[1/20](380/945) || training loss 0.1611 || training accuracy 84.38% || train_f1_score 0.86 || lr 0.001
Epoch[1/20](400/945) || training loss 0.09554 || training accuracy 91.56% || train_f1_score 0.86 || lr 0.001
Epoch[1/20](420/945) || training loss 0.1799 || training accuracy 84.38% || train_f1_score 0.87 || lr 0.001
Epoch[1/20](440/945) || training loss 0.109 || training accuracy 89.69% || train_f1_score 0.86 || lr 0.001
Epoch[1/20](460/945) || training loss 0.165 || training accuracy 85.62% || train_f1_score 0.87 || lr 0.001
Epoch[1/20](480/945) || training loss 0.1474 || training accuracy 86.88% || train_f1_score 0.87 || lr 0.001
Epoch[1/20](500/945) || training loss 0.131 || training accuracy 87.81% || train_f1_score 0.87 || lr 0.001
Epoch[1/20](520/945) || training loss 0.1446 || training accuracy 88.12% || train_f1_score 0.87 || lr 0.001
Epoch[1/20](540/945) || training loss 0.137 || training accuracy 87.81% || train_f1_score 0.87 || lr 0.001
Epoch[1/20](560/945) || training loss 0.1861 || training accuracy 82.81% || train_f1_score 0.86 || lr 0.001
Epoch[1/20](580/945) || training loss 0.1257 || training accuracy 88.75% || train_f1_score 0.86 || lr 0.001
Epoch[1/20](600/945) || training loss 0.09729 || training accuracy 91.25% || train_f1_score 0.86 || lr 0.001
Epoch[1/20](620/945) || training loss 0.1153 || training accuracy 89.38% || train_f1_score 0.87 || lr 0.001
Epoch[1/20](640/945) || training loss 0.1386 || training accuracy 86.56% || train_f1_score 0.86 || lr 0.001
Epoch[1/20](660/945) || training loss 0.1936 || training accuracy 82.81% || train_f1_score 0.86 || lr 0.001
Epoch[1/20](680/945) || training loss 0.1429 || training accuracy 87.19% || train_f1_score 0.86 || lr 0.001
Epoch[1/20](700/945) || training loss 0.1037 || training accuracy 90.62% || train_f1_score 0.86 || lr 0.001
Epoch[1/20](720/945) || training loss 0.1446 || training accuracy 87.50% || train_f1_score 0.86 || lr 0.001
