2023-04-19 12:23:58,964 INFO    MainThread:8177 [wandb_setup.py:_flush():76] Configure stats pid to 8177
2023-04-19 12:23:58,965 INFO    MainThread:8177 [wandb_setup.py:_flush():76] Loading settings from /opt/ml/.config/wandb/settings
2023-04-19 12:23:58,965 INFO    MainThread:8177 [wandb_setup.py:_flush():76] Loading settings from /opt/ml/level1_imageclassification-cv-17/wandb/settings
2023-04-19 12:23:58,965 INFO    MainThread:8177 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-19 12:23:58,965 INFO    MainThread:8177 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-19 12:23:58,965 INFO    MainThread:8177 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program': 'train.py'}
2023-04-19 12:23:58,965 INFO    MainThread:8177 [wandb_init.py:_log_setup():507] Logging user logs to /opt/ml/level1_imageclassification-cv-17/wandb/run-20230419_122358-tuaj77ap/logs/debug.log
2023-04-19 12:23:58,965 INFO    MainThread:8177 [wandb_init.py:_log_setup():508] Logging internal logs to /opt/ml/level1_imageclassification-cv-17/wandb/run-20230419_122358-tuaj77ap/logs/debug-internal.log
2023-04-19 12:23:58,965 INFO    MainThread:8177 [wandb_init.py:init():547] calling init triggers
2023-04-19 12:23:58,965 INFO    MainThread:8177 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'seed': 111, 'epochs': 1, 'dataset': 'MaskGenderDataset', 'augmentation': 'YoonpyoAugmentation', 'resize': (512, 384), 'batch_size': 32, 'valid_batch_size': 32, 'model': 'EfficientNetB3', 'optimizer': 'Adam', 'lr': 1e-05, 'val_ratio': 0.2, 'criterion': 'label_smoothing', 'lr_decay_step': 20, 'log_interval': 20, 'name': 'test', 'model_dir': './test', 'patience_limit': 3}
2023-04-19 12:23:58,965 INFO    MainThread:8177 [wandb_init.py:init():595] starting backend
2023-04-19 12:23:58,965 INFO    MainThread:8177 [wandb_init.py:init():599] setting up manager
2023-04-19 12:23:58,967 INFO    MainThread:8177 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-04-19 12:23:58,969 INFO    MainThread:8177 [wandb_init.py:init():605] backend started and connected
2023-04-19 12:23:58,973 INFO    MainThread:8177 [wandb_init.py:init():695] updated telemetry
2023-04-19 12:23:59,033 INFO    MainThread:8177 [wandb_init.py:init():732] communicating run to backend with 60.0 second timeout
2023-04-19 12:23:59,519 INFO    MainThread:8177 [wandb_run.py:_on_init():2176] communicating current version
2023-04-19 12:23:59,551 INFO    MainThread:8177 [wandb_run.py:_on_init():2185] got version response 
2023-04-19 12:23:59,551 INFO    MainThread:8177 [wandb_init.py:init():782] starting run threads in backend
2023-04-19 12:24:02,369 INFO    MainThread:8177 [wandb_run.py:_console_start():2157] atexit reg
2023-04-19 12:24:02,369 INFO    MainThread:8177 [wandb_run.py:_redirect():2012] redirect: SettingsConsole.WRAP_RAW
2023-04-19 12:24:02,369 INFO    MainThread:8177 [wandb_run.py:_redirect():2077] Wrapping output streams.
2023-04-19 12:24:02,369 INFO    MainThread:8177 [wandb_run.py:_redirect():2102] Redirects installed.
2023-04-19 12:24:02,370 INFO    MainThread:8177 [wandb_init.py:init():824] run started, returning control to user process
2023-04-19 12:24:08,860 WARNING MsgRouterThr:8177 [router.py:message_loop():77] message_loop has been closed
