2023-04-19 19:20:49,922 INFO    MainThread:13227 [wandb_setup.py:_flush():76] Configure stats pid to 13227
2023-04-19 19:20:49,923 INFO    MainThread:13227 [wandb_setup.py:_flush():76] Loading settings from /opt/ml/.config/wandb/settings
2023-04-19 19:20:49,923 INFO    MainThread:13227 [wandb_setup.py:_flush():76] Loading settings from /opt/ml/level1_imageclassification-cv-17/wandb/settings
2023-04-19 19:20:49,923 INFO    MainThread:13227 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-19 19:20:49,923 INFO    MainThread:13227 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-19 19:20:49,923 INFO    MainThread:13227 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program': 'train.py'}
2023-04-19 19:20:49,923 INFO    MainThread:13227 [wandb_init.py:_log_setup():507] Logging user logs to /opt/ml/level1_imageclassification-cv-17/wandb/run-20230419_192049-7hqomm5b/logs/debug.log
2023-04-19 19:20:49,923 INFO    MainThread:13227 [wandb_init.py:_log_setup():508] Logging internal logs to /opt/ml/level1_imageclassification-cv-17/wandb/run-20230419_192049-7hqomm5b/logs/debug-internal.log
2023-04-19 19:20:49,923 INFO    MainThread:13227 [wandb_init.py:init():547] calling init triggers
2023-04-19 19:20:49,923 INFO    MainThread:13227 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'seed': 111, 'epochs': 20, 'dataset': 'AgeDataset', 'augmentation': 'bestAugmentation', 'resize': (512, 384), 'batch_size': 32, 'valid_batch_size': 32, 'model': 'EfficientNetB3_init', 'optimizer': 'AdamW', 'lr': 1e-05, 'val_ratio': 0.2, 'criterion': 'cross_entropy', 'lr_decay_step': 20, 'log_interval': 20, 'name': 'sh_eff3init_cross_best', 'model_dir': './Age_new', 'patience_limit': 3}
2023-04-19 19:20:49,923 INFO    MainThread:13227 [wandb_init.py:init():595] starting backend
2023-04-19 19:20:49,923 INFO    MainThread:13227 [wandb_init.py:init():599] setting up manager
2023-04-19 19:20:49,925 INFO    MainThread:13227 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-04-19 19:20:49,927 INFO    MainThread:13227 [wandb_init.py:init():605] backend started and connected
2023-04-19 19:20:49,932 INFO    MainThread:13227 [wandb_init.py:init():695] updated telemetry
2023-04-19 19:20:49,997 INFO    MainThread:13227 [wandb_init.py:init():732] communicating run to backend with 60.0 second timeout
2023-04-19 19:20:50,514 INFO    MainThread:13227 [wandb_run.py:_on_init():2176] communicating current version
2023-04-19 19:20:50,547 INFO    MainThread:13227 [wandb_run.py:_on_init():2185] got version response 
2023-04-19 19:20:50,547 INFO    MainThread:13227 [wandb_init.py:init():782] starting run threads in backend
2023-04-19 19:20:53,400 INFO    MainThread:13227 [wandb_run.py:_console_start():2157] atexit reg
2023-04-19 19:20:53,401 INFO    MainThread:13227 [wandb_run.py:_redirect():2012] redirect: SettingsConsole.WRAP_RAW
2023-04-19 19:20:53,401 INFO    MainThread:13227 [wandb_run.py:_redirect():2077] Wrapping output streams.
2023-04-19 19:20:53,401 INFO    MainThread:13227 [wandb_run.py:_redirect():2102] Redirects installed.
2023-04-19 19:20:53,402 INFO    MainThread:13227 [wandb_init.py:init():824] run started, returning control to user process
2023-04-19 20:36:30,470 INFO    MainThread:13227 [wandb_run.py:_finish():1892] finishing run cv17_nextlevel/Mask_Classification/7hqomm5b
2023-04-19 20:36:30,471 INFO    MainThread:13227 [wandb_run.py:_atexit_cleanup():2126] got exitcode: 0
2023-04-19 20:36:30,471 INFO    MainThread:13227 [wandb_run.py:_restore():2109] restore
2023-04-19 20:36:30,471 INFO    MainThread:13227 [wandb_run.py:_restore():2115] restore done
2023-04-19 20:36:36,071 INFO    MainThread:13227 [wandb_run.py:_footer_history_summary_info():3476] rendering history
2023-04-19 20:36:36,071 INFO    MainThread:13227 [wandb_run.py:_footer_history_summary_info():3508] rendering summary
2023-04-19 20:36:36,079 INFO    MainThread:13227 [wandb_run.py:_footer_sync_info():3434] logging synced files
